Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
6,0.5,0.13058243737920566,0.1,0.09438710616294901,0.2,0.21010733691055677,10414.8295940996,-211.1062393071677
7,0.5,0.12024133592262565,0.1,0.08821425925364482,0.2,0.21030905056991395,10713.612304220189,-214.56687810732774
8,0.5,0.10129928010256814,0.1,0.09230496432386619,0.2,0.18243356688162593,10363.586673455504,-218.12127910754828
9,0.5,0.09735059010108918,0.1,0.08350566248538448,0.2,0.1931779924062134,10625.537013547968,-215.11520080352398
10,0.5,0.08513578326917651,0.1,0.08207376112219028,0.2,0.1834435420167952,10652.063442724175,-211.40450015094677
11,0.5,0.08185184028934564,0.1,0.08302676146103283,0.2,0.19923679898601482,10737.144776760546,-214.29766353236812
12,0.5,0.046386239229786234,0.1,0.07465008960025692,0.2,0.18076397817403164,10847.584128553919,-216.5145540582074
13,0.5,0.08609038300745263,0.1,0.09999732895959099,0.2,0.1908932864770828,10046.117325042707,-225.90147338193606
14,0.5,0.07796283350044486,0.1,0.11709207770614974,0.2,0.2123948698119858,9649.820392042695,-214.02368949741253
15,0.5,0.06515081125336003,0.1,0.10931702356219662,0.2,0.19811225507651462,9883.38169639202,-212.16490977010426
16,0.5,0.049026453352003466,0.1,0.09566245944185571,0.2,0.19355652165434195,10118.94026357182,-221.8073424187519
17,0.5,0.044161926789519135,0.1,0.11147262973406737,0.2,0.20519172165068295,9790.898703728872,-212.42419404837426
18,0.5,0.09395515730778238,0.1,0.09572414731890262,0.2,0.1875550883986623,10215.164358323622,-222.54661962135526
19,0.5,0.10293204061570276,0.1,0.0978381500996591,0.2,0.2040071138845422,10090.758153830879,-210.13363481488523
20,0.5,0.13005892519492476,0.1,0.08677572800443188,0.2,0.19502663897544598,10685.459659933427,-212.28512054825774
1,0.5,0.10194678616539596,0.1,0.08004303947756139,0.3,0.27455237004444655,11011.62214858052,-214.8216473436289
2,0.5,0.11927243191959774,0.1,0.08077696724419985,0.3,0.2754236740210108,10904.172380096974,-208.03519505591828
3,0.5,0.1414436080846734,0.1,0.06300145625423369,0.3,0.24309004458488173,11710.830689296527,-226.46079331862825
4,0.5,0.07334084733947835,0.1,0.0905203415198069,0.3,0.2890413102259964,10358.86338459283,-212.340304479799
5,0.5,0.05202713269111832,0.1,0.060926329687609734,0.3,0.2374161691470408,11847.191579607372,-215.14526893380446
6,0.5,0.13488558321854816,0.1,0.06670882409482547,0.3,0.25718522130421345,11676.57120369606,-215.84248356972273
7,0.5,0.08869856744637734,0.1,0.08983970182473089,0.3,0.28972133883225304,10456.870147586042,-212.4679852850212
8,0.5,0.04266966878752158,0.1,0.09336152274931848,0.3,0.28092341401929233,10250.06047373386,-205.07895760571273
9,0.5,0.17014159337867027,0.1,0.07375445268107945,0.3,0.27054134592412243,11276.53273916686,-213.45084310343998
10,0.5,0.12485628984809628,0.1,0.08040465997766068,0.3,0.2734304814737331,10937.717662471896,-212.2314625327317
11,0.5,0.10890973518060147,0.1,0.06927318738091721,0.3,0.26003312953658936,11429.065473680868,-212.10498631852363
12,0.5,0.08952743630129693,0.1,0.09807300842823811,0.3,0.30292713815555017,10228.464586786917,-209.6534200321064
13,0.5,0.08816936226359938,0.1,0.09786709982418343,0.3,0.3117837882192454,10295.58622624579,-210.83155822260642
14,0.5,0.14428766762200923,0.1,0.07492633112841954,0.3,0.2703239943466956,11195.912162037066,-213.6436565241845
15,0.5,0.09015754753346235,0.1,0.08553464998039045,0.3,0.2840908494254571,10634.367662636196,-209.4237855589903
16,0.5,0.11615091490698165,0.1,0.06940428622224265,0.3,0.2569654454219506,11468.710920319547,-215.73152490078087
17,0.5,0.036385041229677145,0.1,0.12383596852414756,0.3,0.34815260442851426,9491.6014354354,-214.2800582043874
18,0.5,0.16788181715309353,0.1,0.0684588142314552,0.3,0.2549316553247959,11585.187549073826,-213.6651513038862
19,0.5,0.10038164381186775,0.1,0.09101439149708805,0.3,0.2959098279555965,10419.882656587,-207.03118243056224
20,0.5,0.12400465848413889,0.1,0.0598849711875456,0.3,0.24320167215785246,12006.18540296063,-215.46928431752815
1,0.5,0.049853684533988384,0.25,0.2890334311068306,0.1,0.10743088684757983,9874.515997612392,-221.9496871381209
2,0.5,0.06656639930197918,0.25,0.27489347427974054,0.1,0.10343737749437298,9929.554804106303,-217.3449356183412
3,0.5,0.09877950135000853,0.25,0.27642004183738894,0.1,0.10531340950276226,9963.933706946365,-222.07277203317665
4,0.5,0.0956829249386236,0.25,0.25788096041810776,0.1,0.11663145146916483,10122.314211853956,-216.05700600431942
5,0.5,0.07251971979394728,0.25,0.27798360613259615,0.1,0.1060368606647583,9852.966684591129,-221.35910719821914
6,0.5,0.09728298330095776,0.25,0.2497870847802162,0.1,0.10722942751271092,10103.691066731159,-219.79242389079968
7,0.5,0.1167179142247594,0.25,0.2638586076849315,0.1,0.11364612863095452,10004.440355557163,-216.27423355873964
8,0.5,0.09404760996624971,0.25,0.25699015304259865,0.1,0.11257424946633476,10166.680455534872,-214.76601636736746
