Sim,F_true,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
16,0.3,0.1,0.09904145028581052,0.2,0.18923584993129308,1.0,0.8730038023773716,10032.237784796138,-5406.673964469661
17,0.3,0.1,0.0979864129020738,0.2,0.19412436389095497,1.0,0.9259033090034009,10010.730394659146,-5043.92895577444
18,0.3,0.1,0.10957580697329779,0.2,0.21703110864059041,1.0,0.839408965676248,9950.188847728576,-5030.810214810566
19,0.3,0.1,0.09682346553674197,0.2,0.2002241440987691,1.0,0.9542949143816467,9962.382718340074,-5044.86451597797
20,0.3,0.1,0.09598203927868888,0.2,0.19769162581355032,1.0,0.9231691631701133,10040.34421131787,-5046.925613407309
1,0.3,0.1,0.10001611684805924,0.2,0.1794265812172121,1.5,1.2836831406022071,10041.328797672184,-5326.261972549423
2,0.3,0.1,0.09643441967552693,0.2,0.20194260365151095,1.5,1.6686536919649,9955.032374040624,-5257.431732495464
3,0.3,0.1,0.10462298830901184,0.2,0.19615231830524466,1.5,1.3133227572515322,9999.727628458051,-5267.820681147214
4,0.3,0.1,0.10240092488662207,0.2,0.1888581199900266,1.5,1.330017131033126,9973.225909963934,-5305.309761904937
5,0.3,0.1,0.10557866005470025,0.2,0.2063580999968339,1.5,1.2911481568376253,9943.537553073009,-5271.261004005575
6,0.3,0.1,0.09895585702711039,0.2,0.18956371520378443,1.5,1.3255595746217064,10069.317260739102,-5245.16625702491
7,0.3,0.1,0.1034733564215051,0.2,0.19612143059207593,1.5,1.3053966209975298,9923.344968091367,-5266.908755638315
8,0.3,0.1,0.10348309565705305,0.2,0.20062963751065857,1.5,1.3332625817424137,10065.124163754432,-5573.251675843399
9,0.3,0.1,0.09881485735042014,0.2,0.19720728811792076,1.5,1.5623746623361783,10031.037703544678,-5248.428775318143
10,0.3,0.1,0.11057289289886112,0.2,0.22889665703008413,1.5,1.3605002150747514,9802.174947226536,-5267.058213106205
11,0.3,0.1,0.10231582452946687,0.2,0.22069827165374442,1.5,1.5251912608263587,9922.697152936218,-5274.138735667185
12,0.3,0.1,0.10150595832932865,0.2,0.19576256761368874,1.5,1.294202671817853,10107.29268790194,-6583.570223050011
13,0.3,0.1,0.09966290966330926,0.2,0.19438169366623642,1.5,1.4279990796803792,9951.647054585701,-5372.943620463528
14,0.3,0.1,0.09551362273894498,0.2,0.20655639718436206,1.5,1.609609418290618,9982.177986984088,-5361.733486560368
15,0.3,0.1,0.10454162363353921,0.2,0.19733610145233416,1.5,1.2856260847637222,10031.344486145334,-5300.530425988489
16,0.3,0.1,0.10017448159786786,0.2,0.20083523095727418,1.5,1.439490318260407,9905.498110670793,-5248.631656063462
17,0.3,0.1,0.09422181889164197,0.2,0.18497448123369217,1.5,1.4691760918488166,10073.968352133244,-5302.386547865737
18,0.3,0.1,0.08888329843244852,0.2,0.2078042144782349,1.5,1.7786262498600773,10030.15392772474,-5286.086520577295
19,0.3,0.1,0.10640926408645193,0.2,0.2050849086460036,1.5,1.2522859310916452,9998.191435502134,-5347.700913090301
