Fis,X,Y
0.5,20,0.05002128943097585
0.75,20,0.050075664399056176
0.9,20,0.05409913796538898
0.0,21,0.04764157285461097
0.1,21,0.04764136028072798
0.25,21,0.04764106593296857
0.5,21,0.047640587205065574
0.75,21,0.04759401053350107
0.9,21,0.04391653287394129
0.0,22,0.04547700786585719
0.1,22,0.045476806265416864
0.25,22,0.045476533619290056
0.5,22,0.04547609466902267
0.75,22,0.04551548551137489
0.9,22,0.048910933949715886
0.0,23,0.04350043700808717
0.1,23,0.04350024794083251
0.25,23,0.043499997460369956
0.5,23,0.04349959024482861
0.75,23,0.04346388578136822
0.9,23,0.04029549148481396
0.0,24,0.04168835990553654
0.1,24,0.04168818524196911
0.25,24,0.04168795735048636
0.5,24,0.041687589197410335
0.75,24,0.041719405499066546
0.9,24,0.04470527876812858
0.0,25,0.04002103652697932
0.1,25,0.04002087830791085
0.25,25,0.04002067338099499
0.5,25,0.040020339379561384
0.75,25,0.039989901697257926
0.9,25,0.037146832204076954
0.0,26,0.03848176411322525
0.1,26,0.03848162437181444
0.25,26,0.038481442725762705
0.5,26,0.038481148245367434
0.75,26,0.038509817864233624
0.9,26,0.04124319561590698
0.0,27,0.037056314694129
0.1,27,0.03705619531361006
0.25,27,0.037056037216040776
0.5,27,0.03705577800658656
0.75,27,0.037026927272480636
0.9,27,0.03437246234819581
0.0,28,0.0357324932452252
0.1,28,0.03573239575755957
0.25,28,0.035732261437016855
0.5,28,0.035732042705361795
0.75,28,0.03576083448535505
0.9,28,0.03836316391657077
0.0,29,0.034499787327546876
0.1,29,0.03449971262033397
0.25,29,0.034499602255289835
0.5,29,0.034499418837480776
0.75,29,0.034469033457847756
0.9,29,0.03189283287291666
0.0,30,0.03334908661582779
0.1,30,0.03334903472568127
0.25,30,0.033348948438934406
0.5,30,0.03334880712078929
0.75,30,0.033380947983542464
0.9,30,0.03595497190608921
0.0,31,0.03227245658233754
0.1,31,0.0322724266741392
0.25,31,0.03227236454281837
0.5,31,0.03227225690493659
0.75,31,0.032236752322592384
0.9,31,0.029640638137653785
0.0,32,0.0312629546327443
0.1,32,0.031262945134560974
0.25,32,0.03126290719233168
0.5,32,0.031262845200380925
0.75,32,0.03130257902894869
0.9,32,0.03394462433585278
0.0,33,0.03031447962533803
0.1,33,0.030314488541708488
0.25,33,0.030314474771458173
0.5,33,0.03031444071872778
0.75,33,0.030268536026134562
0.9,33,0.02755552908423377
0.0,34,0.029421647930080376
0.1,34,0.029421673301328218
0.25,34,0.029421683635143223
0.5,34,0.02942170538970911
0.75,34,0.029475864983915787
0.9,34,0.032285948532493905
0.0,35,0.028579690914791612
0.1,35,0.028579731218545096
0.25,35,0.028579765541626098
0.5,35,0.028579796164533367
0.75,35,0.028514383279435774
0.9,35,0.02557910401341015
0.0,36,0.027784369737236084
0.1,36,0.027784424031321454
0.25,36,0.027784482181187505
0.5,36,0.02778460401455828
0.75,36,0.027865617618024904
0.9,36,0.030956773804723305
0.0,37,0.027031904040204766
0.1,37,0.027031971800205862
0.25,37,0.02703205356279619
0.5,37,0.027032113075789854
0.75,37,0.026929900875303107
0.9,37,0.023649418513676773
0.0,38,0.026318911836168066
0.1,38,0.02631899260096871
0.25,38,0.02631909771812154
0.5,38,0.02631939232222602
0.75,38,0.026451712513839088
0.9,38,0.029958861447419164
0.0,39,0.025642358426313176
0.1,39,0.025642451498026724
0.25,39,0.0256425796370198
0.5,39,0.0256425045775272
0.75,39,0.025468396895797926
0.9,39,0.021694067349145387
0.0,40,0.024999512714844362
0.1,40,0.024999617172960915
0.25,40,0.02499976806668006
0.5,40,0.025000599271146867
0.75,40,0.02523526367754578
0.9,40,0.029321716061999473
0.0,41,0.024387909784382603
0.1,41,0.024388024898820422
0.25,41,0.02438819766047304
0.5,41,0.02438713558923399
0.75,41,0.024066007281216013
0.9,41,0.01962047092771938
0.0,42,0.023805318941402566
0.1,42,0.023805444804278087
0.25,42,0.02380564139808452
0.5,42,0.02380903977062421
0.75,42,0.02425778413585864
0.9,42,0.029111367571287523
0.0,43,0.023249716588740102
0.1,43,0.023249854561782777
0.25,43,0.02325006147790554
0.5,43,0.023243019341713765
0.75,43,0.022607286775751786
0.9,43,0.017301210975731948
0.0,44,0.022719263300108046
0.1,44,0.02271941587063214
0.25,44,0.02271970448862956
0.5,44,0.022738218203344936
0.75,44,0.02365354475373436
0.9,44,0.029446494319918984
0.0,45,0.022212284333990088
0.1,45,0.022212452985092265
0.25,45,0.022212411153898406
0.5,45,0.022167127628817212
0.75,45,0.020837020252605937
0.9,45,0.014550846741745041
0.0,46,0.021727252453005753
0.1,46,0.021727451432494948
0.25,46,0.021729499798247655
0.5,46,0.021847444430044192
0.75,46,0.02379244051717909
0.9,46,0.030526278259186086
0.0,47,0.021262771525465258
0.1,47,0.021262771338138923
0.25,47,0.021252342534636703
0.5,47,0.020946785955154854
0.75,47,0.01812052235233676
0.9,47,0.01108812937654494
0.0,48,0.02081756001422269
0.1,48,0.020821216155725845
0.25,48,0.0208867461351945
0.5,48,0.021680080997375697
0.75,48,0.025680663411217858
0.9,48,0.032677825936912125
0.0,49,0.0203904398186806
0.1,49,0.020330602096602687
0.25,49,0.01994897595271836
0.5,49,0.017999134915149633
0.75,49,0.012762924118878702
0.9,49,0.006473042364926314
