Sim,F_true,F_est,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
5,0.75,0.7389789634227756,0.1,0.11028192239431642,0.1,0.10589522999103607,1.5,1.1420322434190249,9930.791127976934,-5632.669000574395
6,0.75,0.7369729957050333,0.1,0.1037637367301027,0.1,0.09598521229380186,1.5,1.071717214820747,9999.332887019787,-5629.580839255801
7,0.75,0.7573623294085404,0.1,0.10177348482355078,0.1,0.09915997988139649,1.5,1.227625564287705,10037.827422699036,-5618.08515272088
8,0.75,0.7122317235307792,0.1,0.10466602965131581,0.1,0.10060705100024808,1.5,1.3354387748499161,9937.85545006164,-5581.102649266029
9,0.75,0.7113133770641666,0.1,0.11352452652411833,0.1,0.11113816707226849,1.5,1.3478012803708737,9878.806429916407,-5625.529270893869
10,0.75,0.6989141725314679,0.1,0.09600281895848302,0.1,0.09332644917234201,1.5,1.4702972515486967,9963.538123985694,-5590.864080387632
11,0.75,0.7304789315273857,0.1,0.1060040443890464,0.1,0.10652003423719643,1.5,1.2468800497820367,10003.04764868236,-5646.829715239953
12,0.75,0.7497695477999666,0.1,0.11057802435710769,0.1,0.10712702524854698,1.5,1.402343204480764,9830.954835771669,-5599.150664552108
13,0.75,0.7388600436731712,0.1,0.10599550922670965,0.1,0.10585317243474669,1.5,1.5297836952571844,9925.220371660045,-5638.392242043196
14,0.75,0.7394524156333716,0.1,0.10150351559097552,0.1,0.09264395201818584,1.5,1.0548470332358924,9946.247837022946,-5615.68501261945
15,0.75,0.7425061525619422,0.1,0.0923405664422661,0.1,0.09107569264964437,1.5,1.6070279911633738,10113.034409990838,-5602.899705737588
16,0.75,0.7098960880572102,0.1,0.09019276365776643,0.1,0.0908127120138187,1.5,1.6930051537592194,10095.231285752026,-5607.162033421935
17,0.75,0.7687445577136449,0.1,0.09823865247103394,0.1,0.09676007301477912,1.5,1.4691260819789236,10037.816874138814,-5649.16940207819
18,0.75,0.7866310306426111,0.1,0.09606017058072105,0.1,0.09728512758008338,1.5,1.5273357581215312,10002.709891321856,-5632.667988944033
19,0.75,0.72425983809269,0.1,0.10195910181706161,0.1,0.09872153687575679,1.5,1.2851473907787196,9928.597109094058,-5633.350425136254
20,0.75,0.7223526064279019,0.1,0.08770632890413281,0.1,0.0841891038298116,1.5,1.5330365172658307,10105.264768774034,-5638.901461327169
1,0.75,0.7632970379366466,0.1,0.10475577571287754,0.2,0.20689616448747888,0.5,0.4321323039605657,9966.957179039367,-4590.85055977553
2,0.75,0.7224494854820067,0.1,0.09019821737943573,0.2,0.20605514847924009,0.5,0.6433948312618011,10040.956437201366,-4647.323101181976
3,0.75,0.7326859294709809,0.1,0.0973642641602202,0.2,0.20021052521482696,0.5,0.5506069791959858,9988.501115105986,-4605.3672558285025
4,0.75,0.7598377513691726,0.1,0.09894849247107078,0.2,0.20084093810134637,0.5,0.5696124689836888,9923.965685682648,-4607.224632478508
5,0.75,0.7668836997995934,0.1,0.09151374727678575,0.2,0.18844551127650944,0.5,0.6147986820062197,10035.182826779372,-4619.829555372784
6,0.75,0.7160640146135057,0.1,0.0978605011201628,0.2,0.19944746858778134,0.5,0.4854114086450654,10001.849155505393,-4621.447112894548
7,0.75,0.7482788156854501,0.1,0.10146198768449283,0.2,0.20004011692967996,0.5,0.37084663936411383,10025.47343666899,-4595.613282009852
8,0.75,0.7417584859578926,0.1,0.10444998823414106,0.2,0.20123142557600737,0.5,0.4016376336310912,9898.984810821647,-4603.8566160277005
9,0.75,0.6833926876358024,0.1,0.09378600554192462,0.2,0.19297345239326896,0.5,0.5865513071184562,9914.91423390404,-4560.398830316253
10,0.75,0.7524474892324886,0.1,0.0945243586081699,0.2,0.18721525038613795,0.5,0.513124269803589,10049.697417709604,-4616.650828893594
11,0.75,0.7347361510692687,0.1,0.10347581050182354,0.2,0.19837050387229785,0.5,0.4197871068147079,9999.62619645991,-4628.44104636245
12,0.75,0.7442219293907286,0.1,0.10158477085900927,0.2,0.2063114867698159,0.5,0.5090421547254305,9990.93026844763,-4600.006130945756
13,0.75,0.7191213661588857,0.1,0.09256138644050779,0.2,0.18314205425936625,0.5,0.6168886408807224,10080.476351396695,-4614.431237390932
14,0.75,0.7158064692319832,0.1,0.0980116813131174,0.2,0.17877552451830137,0.5,0.3545014542672954,10070.90119962565,-4629.4584743904725
15,0.75,0.7591086847588473,0.1,0.10022671694059097,0.2,0.1946046415450426,0.5,0.4996830613850556,9994.319907516006,-4600.936059754362
16,0.75,0.7000676929233877,0.1,0.10098385302187625,0.2,0.19640624438573676,0.5,0.4735557652423765,9984.030985700205,-4625.899302319738
