Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
6,0.1,0.0834910015447027,0.1,0.09833620407524504,0.2,0.19375677879167916,9960.424304376716,-202.86770135542952
7,0.1,0.06366344334549301,0.1,0.10646107266863612,0.2,0.1997392757647453,9763.762294532207,-205.40716751038053
8,0.1,0.09716464682456401,0.1,0.1091257280750921,0.2,0.19942504544088915,9752.369817578385,-206.6600220316742
9,0.1,0.15249260762748768,0.1,0.10220163724775068,0.2,0.20149577810663638,10018.389905439764,-207.20494159616612
10,0.1,0.11649462602023357,0.1,0.10613544348436034,0.2,0.210794617790126,9929.732274169723,-204.55230726846628
11,0.1,0.0996958044032588,0.1,0.09838307522747282,0.2,0.19244124964530668,9979.023968179774,-205.43901388462257
12,0.1,0.09169115166354339,0.1,0.10415955442496244,0.2,0.19330493766967793,9807.73783667621,-206.58399394116373
13,0.1,0.11301385713543069,0.1,0.09314763874616719,0.2,0.19164860856276783,10175.16852188236,-207.10165691623058
14,0.1,0.10387180799188617,0.1,0.09565522431101198,0.2,0.19066050375749768,10177.202062986837,-203.34673177263835
15,0.1,0.10051544224079378,0.1,0.09146418391275746,0.2,0.19512843632161816,10248.414233722615,-202.763193037311
16,0.1,0.037248895776148004,0.1,0.13519116937399325,0.2,0.2184762027084488,9024.956073848676,-203.5871768018917
17,0.1,0.1129673134225712,0.1,0.10365717240478539,0.2,0.1985624610807164,9953.16928360995,-204.46776188627246
18,0.1,0.050711490180667694,0.1,0.11456340541285528,0.2,0.19892481004984347,9580.32222188641,-207.32905750152156
19,0.1,0.13539996178489555,0.1,0.09180301951340548,0.2,0.18755341889724367,10132.778401945883,-205.76449408350084
20,0.1,0.08805647367470999,0.1,0.09555012391772079,0.2,0.1812171186662278,10030.096412406147,-205.89555496475828
1,0.1,0.07737847473021257,0.1,0.10162709339124576,0.3,0.3128777871021429,9970.33666655356,-202.68048724062498
2,0.1,0.06968950738546247,0.1,0.10654049035539429,0.3,0.3007491837703796,9755.874792878241,-200.09884380741153
3,0.1,0.12997985642751692,0.1,0.10737700238740397,0.3,0.30565207319535603,9773.980475154502,-201.4277806317632
4,0.1,0.10862548334351492,0.1,0.10672401691922832,0.3,0.3135383307559107,9852.744113009905,-197.3070488213233
5,0.1,0.09798813415737663,0.1,0.12072499746126636,0.3,0.31996042242560196,9478.376614318091,-201.77812914005187
6,0.1,0.13319509323165543,0.1,0.09558668887360623,0.3,0.29147125767035786,10254.774513080329,-201.95062538596198
7,0.1,0.0227771180744962,0.1,0.10816857701192861,0.3,0.29503181478864643,9623.942475349773,-203.54133003810637
8,0.1,0.14172852094465238,0.1,0.09124456839170865,0.3,0.29210160906486116,10353.420914353534,-198.84957248284434
9,0.1,0.09528855353562941,0.1,0.10489651146746935,0.3,0.30042232364125926,9895.531372401545,-200.48041250472716
10,0.1,0.10554951768190471,0.1,0.09975007553412561,0.3,0.3020276529463017,9991.772067767331,-200.8054119581452
11,0.1,0.09766982419067503,0.1,0.08803163452532389,0.3,0.2790878740531328,10324.690697146561,-202.18310278948866
12,0.1,0.08706551937215182,0.1,0.12221515761547203,0.3,0.3313305558151325,9439.713812237884,-201.66955302163444
13,0.1,0.08951282489497227,0.1,0.11671375039092471,0.3,0.3205285976792403,9524.483817659786,-201.39686359333825
14,0.1,0.11473306808125713,0.1,0.11728575421668952,0.3,0.32107595950914664,9581.661370988346,-199.3683959313853
15,0.1,0.09461198917670298,0.1,0.09829373125122219,0.3,0.3084422435576914,10064.89470527045,-200.1749359709287
16,0.1,0.1133766908386269,0.1,0.09134868187075494,0.3,0.29401548574174874,10325.963061852117,-198.12152479875851
17,0.1,0.08014495311004835,0.1,0.10788398506085388,0.3,0.3099083289870163,9805.655301701887,-202.7800706849057
18,0.1,0.1294206456503412,0.1,0.08659492132020595,0.3,0.28336683714492916,10488.274211781603,-199.85650140236237
19,0.1,0.1690790835486118,0.1,0.08059093317542756,0.3,0.2706304834353123,10840.47932172436,-200.28182048115548
20,0.1,0.13190396036253954,0.1,0.09656953020050446,0.3,0.3079417872396537,10293.154339509505,-201.41741369047372
1,0.1,0.07867381540233086,0.25,0.25047526329337133,0.1,0.09043269472337326,9924.112905138825,-210.45229767746503
2,0.1,0.04842368103382384,0.25,0.23928451828550634,0.1,0.0940801994992652,9904.364212132472,-210.98642519575253
3,0.1,0.043235225549623515,0.25,0.23898453753868562,0.1,0.08421456310644389,9949.280158307249,-209.64926761884055
4,0.1,0.07536933093761294,0.25,0.24795379102176687,0.1,0.09107336608115468,9888.30327549619,-212.76996331336704
5,0.1,0.11152193970635667,0.25,0.2610426497119928,0.1,0.10663859268186231,9938.164557248045,-211.468496029633
6,0.1,0.1502425119650438,0.25,0.25517292243459083,0.1,0.10275470031632294,10043.844023952392,-213.36514751620427
7,0.1,0.11766163670453889,0.25,0.28023263840348334,0.1,0.0937942994282876,9829.708765126565,-210.20058353100217
8,0.1,0.07376818934275507,0.25,0.23037901146646425,0.1,0.0855246151700685,9935.168643477253,-211.8776836307444
9,0.1,0.08968797496739916,0.25,0.24735225263506372,0.1,0.10211816532534902,9949.582417194317,-211.7765152432421
10,0.1,0.07809719211540801,0.25,0.23377596044223103,0.1,0.09908581556916121,10047.824258952778,-210.8436809077947
11,0.1,0.12077100046846553,0.25,0.28399904417180427,0.1,0.11252683790926378,9939.303955356545,-211.42735334732993
