nuBot,nuCur,TBot,TCur,LogLik,Theta
0.001,0.7150068251824805,1.571939060618786,1.013455162095408,-53496.190105280795,943971.0185539818
0.001,3.7242683953503075,0.39722016973931346,5.2830192246757335,-53496.15810425335,181229.04508824996
0.001,1.3741378437652696,1.0067252980726797,1.9486345273554986,-53496.17105624474,491177.5984720655
0.08073207141914418,8.771466511101647,0.001,11.39339791971873,-53500.82843054742,76951.88340844752
0.001,0.6175944805952612,0.4688542560176601,0.8752463572576364,-53496.196402523536,1092862.158372309
2.317469791052812,0.05991736167641998,0.28366545839515134,0.001,-25357.230427045288,454427.568216592
0.001,0.736489567061593,2.388596243838389,1.0439359103949777,-53496.188942535766,916436.0467069084
2.7214010785606972,0.049105750794999986,0.22549877125821896,0.001,-24728.86747807903,462049.27432455745
0.001,0.6146136379794395,0.3123428740475111,0.8710138093497092,-53496.19662817953,1098163.4462905137
0.001,1.7108661380374313,2.553637391701422,2.4263876709757546,-53496.16700898443,394505.2492004657
0.001,0.8161830411856563,1.1934557004835433,1.1570046179434699,-53496.18516772603,826953.8698339054
0.001,0.39758325761837365,0.39472196171567164,0.5630950814095473,-53496.222153478564,1697619.2955295187
0.001,1.271725482405513,0.4568826062877876,1.803330728229717,-53496.172714271626,530732.2816520195
0.001,1.696455062521989,0.4885616493358553,2.405936931006493,-53496.16714944015,397856.66022234794
2.392246741981305,0.05985577439983843,0.37249257697236443,0.001001504817799974,-26183.572998293123,429393.31041195965
0.001,0.46866095115780354,0.8840115143859194,0.6639381087644614,-53496.211155978526,1440157.7473936996
0.001,0.33554180393166155,0.8851102921833998,0.47506487363014727,-53496.23550496274,2011512.610409517
2.5132053259121556,0.054195325232077776,0.24714753569137407,0.001,-24931.678438249248,458765.4834819816
2.9429609784042405,0.04604451502023061,0.20530038070025555,0.001,-24580.766943325536,465484.51088923373
0.001,1.2151209835368664,0.7760935045495077,1.7230192233051287,-53496.17375120887,555455.6615545294
10.821460451308148,0.10815403675054301,10.88002029866842,0.001,-32174.96536620197,72078.12948688479
7.9259489704176564,10.20096163978188,0.6384389799746376,12.805352195701595,-53500.13623800392,66168.33190162634
2.7735040068652235,0.048310361348058814,0.2241367943789625,0.001,-24683.86057509025,461346.2164561667
0.001,1.1628977127311468,3.192944375889612,1.6489348844767278,-53496.17480016235,580399.1552898571
0.001,0.8396282167372493,0.2076267887753648,1.190269107604681,-53496.18419459055,803862.553406106
2.208447131861447,0.07765038642094954,0.6215556879273604,0.001,-28524.048205236017,397845.00904854864
4.039134455436392,0.037082724953606226,0.17410341328837065,0.001,-24390.292722146216,469093.39639388415
0.001,0.68181091161408,0.7027202351212554,0.9663568251003041,-53496.19204724094,989930.8886745847
0.001,1.6274611632212581,1.1714982124360858,2.308055070821276,-53496.16785497563,414722.93566968915
0.001,0.5810075422943799,0.3282645046770736,0.8233386588023576,-53496.19931936143,1161680.6764107847
