nuExp,nuBot,nuCur,T1,T2,LogLik,theta
0.01447746308184237,0.02493289833645246,0.11403465337243895,0.025047289420959695,0.3643869734949427,-56877.91596895692,6155777.625300555
0.010826372215335377,2.1325202860944943,0.10084629898823852,0.027907647510120287,0.04794655636511492,-38345.60270955194,4378588.800328377
8.963832201341438,0.3073500285511134,1.1338009810794656,0.010249807962558203,3.3615623373535266,-56860.86736128181,612506.8129181536
0.17319903886536722,0.047722859673045806,0.2299421973621337,0.023970015151617372,1.150915898156632,-58216.51744292735,2904385.578032017
6.256693249627066,0.0496039842491241,0.33692984786986163,0.039493755763098604,1.4532249532473196,-56815.34860491817,2065600.4879980127
0.2743454509433639,9.54353393303234,0.9201194690377054,0.09649046707136119,0.35681109826924584,-39084.38011078826,515085.2348596562
0.5323628525778408,1.150279211546787,1.2117179212044566,1.6428507784347846,0.8369717387108564,-54774.2069443073,574205.8119051857
3.266260949875549,4.39888791705493,4.486717957242395,5.267565167443777,2.9668317007462446,-55581.091322426946,146190.38911758392
0.27264355667471923,0.8278029790380164,0.7274593468616986,2.884945233500528,0.6588299170848001,-52750.30971840239,917595.6278063658
4.674557774508728,9.715657515443594,4.566965829217726,4.118900958368702,2.081727382131524,-48218.05861242197,127350.1775931568
9.844868663338385,0.050561581756512444,0.1939168405143599,0.033903105481247094,0.6492728845661706,-57174.468616047,3532368.91076965
1.1469322610882153,0.062102463213635585,0.28510680356341944,0.01125560474768002,1.0522117343040844,-56921.738091882915,2417403.013414941
0.8200040744459921,0.013817815242873765,0.07050043171521088,0.010023367758281249,0.2624920035001807,-56857.89363921127,9844598.647088785
4.831048012815573,0.14349342687818042,0.3072801623356998,1.6516546568238613,2.2095392597268124,-69106.44802167577,1999181.938473844
0.7160784701335858,0.0873774133720749,0.4435774670868577,0.014867097760449387,1.6467011730357697,-56826.87716486165,1565743.838877962
9.525215236804533,0.11943742009224603,0.5047473901866788,0.011267770479476517,1.7786833890880918,-56948.473414653985,1363709.4743533167
0.42051529638154495,6.867187512448546,1.1246431584597256,0.010207094246136259,0.30312998763626314,-39941.586764513064,440431.2033698109
2.161697748821454,0.20501797368890048,0.304578249832061,1.3803653386986883,4.829703010279743,-78601.2439278085,1933392.5627348213
3.9997151870182877,0.28427028504750335,0.6377964836675571,0.010935002440249315,2.8277405707988135,-63557.77112442536,995678.0968313548
7.102646555876356,0.27432710134052335,0.9237468570494297,0.016892695929934504,5.379642408358799,-61960.678565014794,695378.2572602597
2.728517931502994,0.17903979073370424,0.9724505427487977,1.0414581733226167,3.7422355472133813,-56820.41656120817,714713.188120926
1.860015382020656,0.22111262584090244,0.6304920852284779,0.017840683305645953,2.671224562805197,-60318.28121544792,1033716.86139107
3.8274510042160643,0.18013322938287352,1.5813495296861064,0.39057700052332767,7.676721699104361,-56814.33317493815,440537.09962637204
3.775373341584175,0.02231113187140737,0.2381064833993563,0.9572681656788364,1.2383432785716892,-56818.15646013232,2932411.3477245118
9.170110811584067,0.10432315970988354,0.3720691148933546,0.28366659575738984,0.9804255423074594,-57233.04137059671,1871141.8292868584
0.5425636631853745,0.03430346505692172,0.22824455872200977,0.010053021479995249,0.9691369889343432,-56814.81115426577,3051120.508508911
0.14903973747962423,8.305265684949024,7.700257712843127,0.05801752548773031,9.549982538279991,-53325.52545706215,88038.12249806215
0.07619520432918751,9.926287042549564,0.6821632232708,0.05014189971976582,0.30683666457469283,-39091.42675829932,682913.093583865
9.847106103930898,0.15259327064029765,0.6357725173831985,0.0896667848269608,2.0975758878094575,-56862.22455669701,1090154.521838707
0.025707969683824543,0.01098463336055355,0.0826886500584738,1.3714552125858301,0.375329784616517,-56814.9426286885,8418026.991657069
8.803823297159685,0.12242835521529875,0.4254048852054971,0.3516397024816451,1.3832757640476057,-57360.63574263919,1600958.1043144548
4.311805370042213,0.15994477861697803,0.5208895449806785,0.015474534355071215,2.0158598877632157,-58515.5706572419,1277259.0129678727
9.087116527556791,0.32156365865839237,0.8228277076791246,1.764288706694227,3.3738719234287395,-61323.73705493755,785526.378940512
8.626313658607348,0.6204293821188506,1.0163950564830717,0.18102950547900262,3.830538134513665,-67602.38407108461,609877.6110217948
0.6528531805097656,0.05986702005646862,0.3298231440371727,7.144491078650209,1.7717299715189134,-58136.79326437134,2027301.6443004124
0.2999634537945982,4.124133420086716,1.072879028884701,0.012657022673180609,0.35149630793965775,-44842.81943283533,473094.4354263159
9.756566630885764,0.18211592360981957,0.6876150351126785,0.2224343075479164,2.185589662526739,-56953.292798781535,1002878.4119601111
4.263569722433962,0.11195593941206113,0.24889690292881128,0.9841591534765626,1.8074141083319568,-68723.65531024121,2473029.745800573
