Sim,F_true,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
17,0.1,0.1,0.10219107760679716,0.2,0.18751239249663074,9650.1420445176,-206.3493768900064
18,0.1,0.1,0.11722233070344093,0.2,0.20330279409429372,9357.304181150066,-207.04879939667796
19,0.1,0.1,0.11808078171791733,0.2,0.20014950654442995,9298.932603141828,-205.24941538815062
20,0.1,0.1,0.10890636919912086,0.2,0.19976812006862718,9670.279594410498,-207.46901552940938
1,0.1,0.1,0.1267196376519877,0.3,0.31987614266024883,9075.894408291577,-200.05524148292432
2,0.1,0.1,0.12819678549251695,0.3,0.3182511634886457,8984.715674678175,-203.50074892870873
3,0.1,0.1,0.1340098614489594,0.3,0.3307357357201761,9039.569038700809,-200.52352181941058
4,0.1,0.1,0.11435967494681029,0.3,0.3160765821534443,9451.331820528385,-204.80469771030073
5,0.1,0.1,0.11801197520349144,0.3,0.31557549012353775,9311.071068970501,-204.73081724310066
6,0.1,0.1,0.12431979049949271,0.3,0.3281297933651275,9301.060870166557,-203.50167591004686
7,0.1,0.1,0.11873233541053388,0.3,0.32071028503519405,9470.438472540294,-202.68762361156257
8,0.1,0.1,0.11676173411178584,0.3,0.30656895181210114,9470.060044216825,-202.90404685588646
9,0.1,0.1,0.1325829933443751,0.3,0.34905796949410145,9015.670484425505,-205.61609653166101
10,0.1,0.1,0.11675381075738836,0.3,0.30602168016297404,9373.956831204023,-203.74449537356008
11,0.1,0.1,0.12445885043441778,0.3,0.3260866406877244,9286.07529915322,-205.3168211067557
12,0.1,0.1,0.1268470725092839,0.3,0.3263122125936207,9279.169910021315,-200.05982478743942
13,0.1,0.1,0.10939363667630644,0.3,0.3027237109037054,9460.014689187889,-203.31951377691064
14,0.1,0.1,0.14289629317808997,0.3,0.35053190175986915,8913.324135275965,-200.9623667324396
15,0.1,0.1,0.13568955829838428,0.3,0.3330415794855169,8975.27380445171,-204.13744292029207
16,0.1,0.1,0.11941682145077663,0.3,0.3145841019411596,9366.34277165976,-206.02385453957936
17,0.1,0.1,0.14135877151551154,0.3,0.3428037305942156,8965.441462269078,-201.43760876826798
18,0.1,0.1,0.12321034553586527,0.3,0.3260679553346224,9212.335839464526,-201.84333627381636
19,0.1,0.1,0.1251145584537109,0.3,0.32543981338936756,9225.300333256468,-203.69234747820076
20,0.1,0.1,0.11701402220414583,0.3,0.31640324284539756,9356.975675638298,-198.68643927486744
1,0.1,0.25,0.2248839161225384,0.1,0.08022232489077245,9851.442011357969,-216.0458069922979
2,0.1,0.25,0.23059836109823256,0.1,0.09171047046690047,10059.6724965662,-214.9173885253249
3,0.1,0.25,0.22495976795255615,0.1,0.08620037298826061,9906.492650481398,-212.6405971095037
4,0.1,0.25,0.22121746308732723,0.1,0.07835450701880045,9897.662381166341,-210.88120630211847
5,0.1,0.25,0.23399260781026784,0.1,0.08014096413712046,9833.02385895675,-218.3292456562283
6,0.1,0.25,0.2297524048296015,0.1,0.0829095007998714,9947.412464206212,-214.2766537633995
7,0.1,0.25,0.21759312658706814,0.1,0.07012756889005359,9848.7221257236,-216.06222816323873
8,0.1,0.25,0.2541531847712443,0.1,0.09157300732869733,9787.649099606073,-213.13835138182105
9,0.1,0.25,0.22874268281728552,0.1,0.08842175387164321,10040.613271304794,-216.28926817118509
10,0.1,0.25,0.23734778535170775,0.1,0.08831941407747838,9785.190804998978,-213.91812939196632
11,0.1,0.25,0.22415246834651933,0.1,0.09146626801926186,10037.375299963425,-213.7641633956241
12,0.1,0.25,0.24272667625510977,0.1,0.08567268417622913,9792.146948149115,-213.3382486081132
13,0.1,0.25,0.24903371982629086,0.1,0.08853617388038056,9724.229855417638,-216.43592190319055
